https://teacher.bupt.edu.cn/zhangzhongbao/zh_CN/index.htm
张 B-NAME
忠 I-NAME
宝 E-NAME
个 O
人 O
简 O
介 O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
网 B-PRO
络 I-PRO
与 I-PRO
交 I-ORG
换 I-ORG
技 I-ORG
术 I-ORG
国 I-ORG
家 I-ORG
重 I-ORG
点 I-ORG
实 I-ORG
验 I-ORG
室 E-ORG
， O
交 B-PRO
换 I-PRO
与 I-PRO
智 I-PRO
能 I-PRO
控 I-ORG
制 I-ORG
研 I-ORG
究 I-ORG
中 I-ORG
心 E-ORG
副 B-TITLE
主 I-TITLE
任 E-TITLE
兼 O
党 B-TITLE
支 I-TITLE
部 I-TITLE
书 I-TITLE
记 E-TITLE
。 O
近 O
年 O
来 O
， O
以 O
大 O
数 O
据 O
与 O
人 O
工 O
智 O
能 O
为 O
主 O
要 O
研 O
究 O
方 O
向 O
， O
已 O
经 O
取 O
得 O
了 O
一 O
系 O
列 O
科 O
研 O
成 O
果 O
， O
发 O
表 O
了 O
包 O
括 O
在 O
（ O
会 O
） O
、 O
（ O
会 O
） O
、 O
（ O
会 O
） O
、 O
（ O
刊 O
） O
、 O
（ O
刊 O
） O
在 O
内 O
的 O
高 O
水 O
平 O
学 O
术 O
论 O
文 O
余 O
篇 O
。 O
目 O
前 O
， O
作 O
为 O
课 O
题 O
负 O
责 O
人 O
主 O
持 O
国 O
家 O
重 O
点 O
研 O
发 O
计 O
划 O
项 O
目 O
课 O
题 O
项 O
， O
主 O
持 O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
项 O
目 O
项 O
， O
以 O
主 O
研 O
人 O
参 O
与 O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
面 O
上 O
项 O
目 O
、 O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
重 O
点 O
项 O
目 O
和 O
国 O
家 O
重 O
点 O
研 O
发 O
计 O
划 O
各 O
项 O
。 O
谷 O
歌 O
学 O
术 O
： O
: O
/ O
/ O
. O
. O
. O
/ O
? B-TITLE
= I-TITLE
& I-TITLE
= I-TITLE
- I-TITLE
教 O
育 O
经 O
历 O
暂 O
无 O
内 O
容 O
工 O
作 O
经 O
历 O
[ O
] O
. O
- O
. O
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
院 E-ORG
| O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
研 B-PRO
究 I-PRO
方 I-PRO
向 E-EDU
[ O
] O
社 B-PRO
交 I-PRO
计 I-PRO
算 E-PRO
、 O
大 B-PRO
数 I-PRO
据 I-PRO
分 I-PRO
析 E-PRO
、 O
自 O
然 O
语 I-PRO
言 I-PRO
处 I-PRO
理 I-PRO
、 O
人 O
工 O
智 O
能 O
社 O
会 O
兼 O
职 O
[ O
] O
中 O
国 I-ORG
人 I-ORG
工 I-ORG
智 I-ORG
能 I-ORG
学 I-ORG
会 E-ORG
委 B-TITLE
员 E-TITLE
， O
中 B-ORG
国 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
会 E-ORG
服 B-TITLE
务 I-TITLE
计 I-TITLE
算 I-TITLE
专 I-TITLE
委 I-TITLE
会 I-TITLE
秘 I-TITLE
书 I-TITLE
处 I-TITLE
成 I-TITLE
员 E-TITLE
， O
中 B-ORG
国 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
会 E-ORG
大 B-TITLE
数 I-TITLE
据 I-TITLE
专 I-ORG
委 I-ORG
会 E-ORG
通 B-TITLE
讯 I-TITLE
委 I-TITLE
员 E-TITLE
团 I-TITLE
队 I-TITLE
成 I-TITLE
员 E-TITLE
暂 O
无 O
内 O
容 O
