https://teacher.bupt.edu.cn/xumengwei
徐 B-NAME
梦 I-NAME
炜 E-NAME
个 O
人 O
信 O
息 O
： O
教 B-TITLE
师 E-TITLE
英 O
文 O
名 O
称 O
： O
电 O
子 O
邮 O
箱 O
： O
@ O
. O
. O
所 O
在 O
单 O
位 O
： O
计 O
算 I-ORG
机 I-ORG
学 I-ORG
院 E-ORG
（ O
国 O
家 I-ORG
示 I-ORG
范 I-ORG
性 I-ORG
软 I-ORG
件 I-ORG
学 I-ORG
院 E-ORG
） O
学 B-EDU
历 E-EDU
： O
研 B-EDU
究 I-EDU
生 E-EDU
毕 O
业 O
性 O
别 O
： O
男 O
学 B-EDU
位 E-EDU
： O
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
在 O
职 O
信 O
息 O
： O
在 O
职 O
毕 O
业 O
院 O
校 O
： O
北 B-ORG
京 I-ORG
大 I-ORG
学 E-ORG
博 B-EDU
士 I-EDU
生 I-TITLE
导 I-TITLE
师 E-TITLE
硕 B-TITLE
士 I-TITLE
生 I-TITLE
导 I-TITLE
师 E-TITLE
所 O
属 O
院 O
系 O
： O
计 O
算 O
机 I-ORG
学 I-ORG
院 E-ORG
曾 O
获 O
荣 O
誉 O
： O
当 O
选 O
： O
优 O
秀 O
博 O
士 O
论 O
文 O
