https://teacher.bupt.edu.cn/xupeng
徐 B-NAME
鹏 E-NAME
个 O
人 O
简 O
介 O
副 B-TITLE
教 I-TITLE
授 E-TITLE
， O
通 B-PRO
信 I-PRO
与 I-PRO
信 I-PRO
息 I-PRO
系 I-PRO
统 E-PRO
博 B-EDU
士 E-EDU
， O
博 B-TITLE
士 I-TITLE
生 I-TITLE
导 I-TITLE
师 E-TITLE
， O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 I-ORG
网 I-ORG
络 I-ORG
与 I-ORG
交 I-ORG
换 I-ORG
技 I-ORG
术 I-ORG
国 I-ORG
家 I-ORG
重 I-ORG
点 I-ORG
实 I-ORG
验 I-ORG
室 E-ORG
任 O
教 B-TITLE
， O
主 O
要 O
从 O
事 O
融 O
合 O
网 O
络 O
、 O
云 O
计 O
算 O
、 O
大 O
数 O
据 O
、 O
智 O
慧 O
城 O
市 O
以 O
及 O
工 O
业 O
互 O
联 O
网 O
等 O
领 O
域 O
的 O
技 O
术 O
研 O
究 O
和 O
产 O
业 O
化 O
工 O
作 O
。 O
作 O
为 O
技 B-TITLE
术 I-TITLE
负 O
责 O
人 O
或 O
主 O
要 O
完 O
成 O
人 O
参 O
与 O
了 O
余 O
项 O
各 O
类 O
国 O
家 O
项 O
目 O
、 O
项 O
目 O
、 O
国 O
家 O
重 O
点 O
研 O
发 O
计 O
划 O
项 O
目 O
等 O
国 O
家 O
级 O
及 O
省 O
部 O
级 O
项 O
目 O
， O
以 O
及 O
余 O
项 O
横 O
向 O
工 O
程 O
及 O
技 O
术 O
开 O
发 O
项 O
目 O
； O
发 O
表 O
了 O
余 O
篇 O
/ O
检 O
索 O
论 O
文 O
及 O
本 O
专 O
著 O
， O
申 O
请 O
国 O
家 O
专 O
利 O
余 O
项 O
。 O
主 O
持 O
研 O
发 O
的 O
开 O
放 O
式 O
云 O
计 O
算 O
能 O
力 O
管 O
理 O
平 O
台 O
在 O
华 O
为 O
、 O
中 O
电 O
所 O
、 O
中 B-ORG
国 I-ORG
联 I-ORG
通 E-ORG
等 O
企 O
业 O
中 O
得 O
以 O
应 O
用 O
； O
主 O
持 O
研 O
发 O
的 O
支 O
持 O
动 O
态 O
创 O
建 O
大 O
数 O
据 O
实 O
验 O
环 O
境 O
的 O
大 O
数 O
据 O
应 O
用 O
支 O
撑 O
平 O
台 O
和 O
多 O
项 O
金 O
融 O
大 O
数 O
据 O
应 O
用 O
在 O
中 O
国 O
邮 I-ORG
储 I-ORG
银 I-ORG
行 E-ORG
得 O
以 O
应 O
用 O
； O
作 O
为 O
第 O
一 O
完 O
成 O
人 O
完 O
成 O
的 O
大 O
数 O
据 O
分 O
析 O
应 O
用 O
项 O
目 O
“ O
柴 O
油 O
加 O
氢 O
装 O
置 O
腐 O
蚀 O
泄 O
漏 O
预 O
测 O
预 O
警 O
研 O
究 O
及 O
应 O
用 O
” O
获 O
中 O
国 O
石 O
油 O
和 O
化 O
工 O
自 O
动 O
化 O
应 O
用 O
协 O
会 O
科 O
技 O
奖 O
二 O
等 O
奖 O
。 O
任 O
北 B-ORG
京 I-ORG
信 I-ORG
息 I-ORG
化 I-ORG
和 I-ORG
工 I-ORG
业 I-ORG
化 I-ORG
融 I-ORG
合 I-ORG
服 I-ORG
务 I-ORG
联 I-ORG
盟 I-ORG
工 I-ORG
业 I-ORG
大 I-ORG
数 I-ORG
据 I-ORG
专 I-ORG
业 I-ORG
委 I-ORG
员 I-ORG
会 E-ORG
副 B-TITLE
会 I-TITLE
长 E-TITLE
、 O
云 B-ORG
计 I-ORG
算 I-ORG
发 I-ORG
展 I-ORG
与 I-ORG
政 I-ORG
策 I-ORG
论 I-ORG
坛 I-ORG
用 I-ORG
户 I-ORG
委 I-ORG
员 I-ORG
会 E-ORG
专 B-TITLE
家 I-TITLE
委 I-TITLE
员 E-TITLE
， O
对 O
云 O
计 O
算 O
及 O
大 O
数 O
据 O
产 O
业 O
， O
尤 O
其 O
是 O
工 O
业 O
大 O
数 O
据 O
产 O
业 O
有 O
深 O
入 O
的 O
理 O
解 O
。 O
团 O
队 O
官 O
方 O
主 O
页 O
： O
: O
/ O
/ O
. O
. O
社 B-TITLE
会 I-TITLE
兼 I-TITLE
职 O
研 O
究 O
方 O
向 O
/ O
~ O
至 O
今 O
云 O
计 O
算 O
发 O
展 O
与 O
政 O
策 O
论 O
坛 O
云 O
计 O
算 O
发 O
展 O
与 O
政 O
策 O
论 O
坛 O
用 O
户 O
委 O
员 O
会 O
专 B-TITLE
家 I-TITLE
委 I-TITLE
员 E-TITLE
/ O
~ O
至 O
今 O
北 B-ORG
京 I-ORG
信 I-ORG
息 I-ORG
化 I-ORG
和 I-ORG
工 I-ORG
业 I-ORG
化 I-ORG
融 I-ORG
合 I-ORG
服 I-ORG
务 I-ORG
联 I-ORG
盟 I-ORG
工 I-ORG
业 I-ORG
大 I-ORG
数 I-ORG
据 I-ORG
专 I-ORG
业 I-ORG
委 I-ORG
员 I-ORG
会 E-ORG
副 B-TITLE
会 I-TITLE
长 E-TITLE
融 I-ORG
合 I-ORG
网 I-ORG
络 I-ORG
工 I-ORG
业 I-ORG
互 I-ORG
联 I-ORG
网 I-ORG
移 I-ORG
动 I-ORG
互 I-ORG
联 I-ORG
网 I-ORG
大 I-ORG
数 I-ORG
