https://teacher.bupt.edu.cn/wangyawen
王 B-NAME
雅 I-NAME
文 E-NAME
个 O
人 O
简 O
介 O
年 O
在 O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
科 I-ORG
学 I-ORG
与 I-ORG
技 I-ORG
术 I-ORG
学 I-ORG
院 E-ORG
获 O
得 O
工 B-PRO
学 E-PRO
学 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
， O
年 O
在 O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 I-ORG
网 I-ORG
络 I-ORG
技 I-ORG
术 I-ORG
研 I-ORG
究 I-ORG
院 E-ORG
获 O
得 O
工 B-PRO
学 E-PRO
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
， O
毕 O
业 O
后 O
留 O
校 O
任 O
教 O
。 O
工 O
作 O
以 O
来 O
一 O
直 O
从 O
事 O
软 O
件 O
自 O
动 O
化 O
测 O
试 O
和 O
程 O
序 O
静 O
态 O
分 O
析 O
相 O
关 O
领 O
域 O
的 O
研 O
究 O
。 O
曾 O
作 O
为 O
项 O
目 O
负 O
责 O
人 O
承 O
担 O
国 O
家 O
青 O
年 O
科 O
学 O
基 O
金 O
项 O
目 O
项 O
、 O
体 O
系 O
结 O
构 O
国 O
家 O
重 O
点 O
实 O
验 O
室 O
开 O
放 O
课 O
题 O
项 O
和 O
网 O
络 O
与 O
交 O
换 O
技 O
术 O
国 O
家 O
重 O
点 O
实 O
验 O
室 O
探 O
索 O
类 O
课 O
题 O
项 O
， O
作 O
为 O
主 O
研 O
人 O
员 O
参 O
与 O
完 O
成 O
国 O
家 O
项 O
目 O
项 O
和 O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
项 O
目 O
项 O
。 O
在 O
国 O
内 O
外 O
学 O
术 O
刊 O
物 O
及 O
国 O
际 O
会 O
议 O
上 O
发 O
表 O
/ O
检 O
索 O
论 O
文 O
多 O
篇 O
， O
参 O
与 O
撰 O
写 O
学 O
术 O
专 O
著 O
部 O
、 O
教 O
材 O
部 O
， O
申 O
请 O
国 O
家 O
专 O
利 O
多 O
项 O
， O
授 O
权 O
项 O
。 O
教 O
育 O
经 O
历 O
[ O
] O
. O
- O
. O
北 O
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
| O
计 B-PRO
算 I-PRO
机 I-PRO
科 I-PRO
学 I-PRO
与 I-PRO
技 I-PRO
术 E-PRO
* O
| O
博 B-EDU
士 E-EDU
| O
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
[ O
] O
. O
- O
. O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
| O
计 B-PRO
算 I-PRO
机 I-PRO
科 I-PRO
学 I-PRO
与 I-PRO
技 I-PRO
术 E-PRO
* O
| O
大 B-EDU
学 I-EDU
本 I-EDU
科 E-EDU
( O
简 O
称 O
“ O
大 O
学 O
” O
) O
| O
学 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
工 O
作 O
经 O
历 O
[ O
] O
. O
- O
至 O
今 O
计 B-ORG
算 I-ORG
机 I-ORG
学 I-ORG
院 E-ORG
（ O
国 O
家 O
示 O
范 O
型 O
软 I-ORG
件 I-ORG
学 I-ORG
院 E-ORG
） O
| O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
[ O
] O
. O
- O
. O
网 B-PRO
络 I-PRO
技 I-ORG
术 I-ORG
研 I-ORG
究 I-ORG
院 E-ORG
| O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
研 I-ORG
究 I-ORG
方 I-ORG
向 O
[ O
] O
自 B-PRO
动 I-PRO
化 I-PRO
软 I-PRO
件 I-PRO
测 I-PRO
试 E-PRO
： O
软 O
件 O
缺 O
陷 O
检 O
测 O
、 O
复 O
杂 O
程 O
序 O
建 O
模 O
、 O
测 O
试 O
用 O
例 O
生 O
成 O
和 O
变 O
异 O
测 O
试 O
等 O
。 O
[ O
] O
持 O
续 O
集 O
成 O
测 O
试 O
优 O
化 O
： O
持 O
续 O
集 O
成 O
测 O
试 O
用 O
例 O
选 O
择 O
、 O
测 O
试 O
用 O
例 O
排 O
序 O
和 O
测 O
试 O
用 O
例 O
生 O
成 O
等 O
。 O
[ O
] O
智 O
能 O
化 O
软 O
件 O
测 O
试 O
： O
基 O
于 O
技 O
术 O
的 O
软 O
件 O
缺 O
陷 O
预 O
测 O
、 O
异 O
常 O
检 O
测 O
、 O
程 O
序 O
相 O
似 O
性 O
分 O
析 O
和 O
代 O
码 O
摘 O
要 O
生 O
成 O
等 O
。 O
社 O
会 O
兼 O
职 O
[ O
] O
. O
- O
. O
中 B-ORG
国 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
会 E-ORG
容 B-TITLE
错 I-TITLE
计 I-TITLE
算 I-TITLE
专 I-TITLE
业 I-TITLE
委 I-TITLE
员 I-TITLE
会 I-TITLE
委 I-TITLE
员 E-TITLE
团 I-TITLE
队 E-TITLE
成 I-TITLE
