https://teacher.bupt.edu.cn/luojuanjuan1
罗 B-NAME
娟 I-NAME
娟 E-NAME
个 O
人 O
简 O
介 O
现 O
任 O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
讲 B-TITLE
师 E-TITLE
， O
硕 B-TITLE
士 I-TITLE
生 I-TITLE
导 I-TITLE
师 E-TITLE
， O
主 O
要 O
研 O
究 O
方 O
向 O
包 O
括 O
进 O
化 O
计 O
算 O
、 O
机 O
器 O
学 O
习 O
、 O
计 O
算 O
机 O
视 O
觉 O
等 O
。 O
主 O
持 O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
青 O
年 O
项 O
目 O
、 O
中 O
国 O
博 O
士 O
后 O
基 O
金 O
面 O
上 O
资 O
助 O
等 O
纵 O
向 O
项 O
目 O
以 O
及 O
多 O
项 O
企 O
事 O
业 O
单 O
位 O
横 O
向 O
项 O
目 O
， O
在 O
国 O
内 O
外 O
重 O
要 O
期 O
刊 O
和 O
会 O
议 O
等 O
发 O
表 O
论 O
文 O
数 O
十 O
篇 O
， O
已 O
授 O
权 O
发 O
明 O
专 O
利 O
多 O
项 O
。 O
教 O
育 O
经 O
历 O
[ O
] O
. O
- O
. O
西 O
班 O
牙 O
巴 O
斯 I-ORG
克 I-ORG
大 I-ORG
学 E-ORG
[ O
] O
. O
- O
. I-ORG
西 I-ORG
安 I-ORG
电 I-ORG
子 I-ORG
科 I-ORG
技 I-ORG
大 I-ORG
学 E-ORG
| O
电 B-PRO
子 I-PRO
科 I-PRO
学 I-PRO
与 I-PRO
技 I-PRO
术 I-PRO
* I-PRO
| O
大 B-EDU
学 I-EDU
本 I-EDU
科 E-EDU
( O
简 O
称 O
“ O
大 O
学 E-ORG
” O
) O
| O
工 B-PRO
学 E-PRO
学 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
[ O
] O
西 B-ORG
安 I-ORG
电 I-ORG
子 I-ORG
科 I-ORG
技 I-ORG
大 I-ORG
学 E-ORG
| O
控 B-PRO
制 I-PRO
科 I-PRO
学 I-PRO
与 I-PRO
工 I-PRO
程 I-PRO
| E-PRO
博 B-EDU
士 E-EDU
| O
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
工 O
作 O
经 O
历 O
[ O
] O
. O
- O
. O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
研 B-EDU
究 I-EDU
方 I-PRO
向 O
[ O
] O
图 B-PRO
像 I-PRO
处 I-PRO
理 I-PRO
[ I-PRO
] I-PRO
机 I-PRO
器 I-PRO
学 I-PRO
习 I-PRO
[ I-PRO
] I-PRO
进 I-PRO
化 I-PRO
计 I-PRO
算 I-PRO
社 O
会 O
兼 O
职 O
暂 O
无 O
内 O
容 O
团 O
队 O
成 O
员 O
暂 O
无 O
内 O
容 O
