https://teacher.bupt.edu.cn/peisongwei
裴 B-NAME
颂 I-NAME
伟 E-NAME
个 O
人 O
简 O
介 O
现 O
任 O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
院 E-ORG
副 B-TITLE
教 I-TITLE
授 E-TITLE
， O
博 B-TITLE
/ I-TITLE
硕 I-TITLE
士 I-TITLE
生 I-TITLE
导 I-TITLE
师 E-TITLE
， O
主 O
要 O
研 O
究 O
方 O
向 O
包 O
括 O
计 O
算 O
机 O
视 O
觉 O
、 O
人 O
工 O
智 O
能 O
算 O
法 O
和 O
系 O
统 O
、 O
计 O
算 O
机 O
系 O
统 O
结 O
构 O
、 O
数 O
字 O
集 O
成 O
电 O
路 O
、 O
嵌 O
入 O
式 O
系 O
统 O
等 O
。 O
任 O
中 B-ORG
国 I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
会 I-ORG
容 I-ORG
错 I-ORG
计 I-ORG
算 I-ORG
专 I-ORG
委 E-ORG
委 B-TITLE
员 E-TITLE
， O
主 O
持 O
国 O
家 O
自 O
然 O
科 O
学 O
基 I-ORG
金 I-ORG
面 O
上 O
项 O
目 O
、 O
国 B-ORG
家 I-ORG
自 I-ORG
然 I-ORG
科 I-ORG
学 I-ORG
基 I-ORG
金 I-ORG
青 I-ORG
年 I-ORG
项 I-ORG
目 E-ORG
、 O
中 B-ORG
国 I-ORG
博 I-ORG
士 I-ORG
后 I-ORG
基 I-ORG
金 E-ORG
特 O
别 O
资 O
助 O
、 O
中 B-ORG
国 I-ORG
博 I-ORG
士 I-ORG
后 I-ORG
基 I-ORG
金 E-ORG
面 O
上 O
资 O
助 O
等 O
纵 O
向 O
项 O
目 O
以 O
及 O
多 O
项 O
企 O
事 O
业 O
单 O
位 O
横 O
向 O
项 O
目 O
， O
在 O
国 O
内 O
外 O
重 O
要 O
期 O
刊 O
和 O
会 O
议 O
， O
如 O
等 O
发 O
表 O
论 O
文 O
数 O
十 O
篇 O
， O
已 O
授 O
权 O
发 O
明 O
专 O
利 O
多 O
项 O
。 O
教 O
育 O
经 O
历 O
暂 O
无 O
内 O
容 O
工 O
作 O
经 O
历 O
暂 O
无 O
内 O
容 O
社 O
会 O
兼 O
职 O
暂 O
无 O
内 O
容 O
研 O
究 O
方 O
向 O
( O
) O
计 O
算 O
机 O
视 O
觉 O
（ O
检 O
测 O
、 O
跟 O
踪 O
、 O
位 O
姿 O
估 O
计 O
、 O
三 O
维 O
重 O
建 O
等 O
） O
( O
) O
人 O
工 O
智 O
能 O
算 O
法 O
及 O
智 O
能 O
系 O
统 O
( O
) O
轻 O
量 O
化 O
人 O
工 O
智 O
能 O
模 O
型 O
及 O
部 O
署 O
( O
) O
数 O
字 O
集 O
成 O
电 O
路 O
设 O
计 O
与 O
测 O
试 O
( O
) O
计 O
算 O
机 O
系 O
统 O
结 O
构 O
及 O
嵌 O
入 O
式 O
系 O
统 O
团 O
队 O
成 O
员 O
暂 O
无 O
内 O
容 O
