https://teacher.bupt.edu.cn/guoying1/zh_CN/index.htm
郭 B-NAME
迎 E-NAME
个 O
人 O
简 O
介 O
年 O
月 O
生 O
， O
山 B-LOC
东 I-LOC
临 I-LOC
沂 I-LOC
人 E-LOC
， O
教 B-TITLE
授 E-TITLE
， O
博 B-TITLE
士 I-TITLE
生 I-TITLE
导 I-TITLE
师 E-TITLE
， O
教 B-TITLE
育 I-TITLE
部 I-TITLE
新 I-TITLE
世 I-TITLE
纪 I-TITLE
优 I-TITLE
秀 I-TITLE
人 I-TITLE
才 E-TITLE
， O
致 O
力 O
于 O
光 O
量 O
子 O
通 O
信 O
软 O
件 O
及 O
量 O
子 O
传 O
感 O
领 O
域 O
研 O
究 O
， O
论 O
文 O
方 O
面 O
： O
在 O
系 O
列 O
， O
， O
. O
系 O
列 O
等 O
期 O
刊 O
发 O
表 O
学 O
术 O
论 O
文 O
多 O
篇 O
， O
主 O
编 O
出 O
版 O
专 O
著 O
部 O
（ O
科 O
学 O
出 O
版 O
社 O
） O
； O
专 O
利 O
方 O
面 O
： O
申 O
请 O
（ O
授 O
权 O
） O
国 O
家 O
发 O
明 O
专 O
利 O
多 O
项 O
， O
转 O
让 O
项 O
多 O
万 O
； O
获 O
奖 O
方 O
面 O
： O
湖 O
南 O
省 O
自 O
然 O
科 O
学 O
奖 O
（ O
二 O
等 O
奖 O
） O
项 O
（ O
分 O
别 O
排 O
名 O
第 O
一 O
， O
第 O
二 O
） O
； O
项 O
目 O
方 O
面 O
： O
主 O
持 O
（ O
承 O
担 O
） O
国 O
家 O
自 O
然 O
科 O
学 O
基 O
金 O
项 O
， O
主 O
持 O
（ O
承 O
担 O
） O
国 O
防 O
基 O
础 O
科 O
研 O
计 O
划 O
项 O
， O
承 O
担 O
军 O
委 O
科 O
技 O
委 O
特 O
区 O
项 O
目 O
项 O
， O
主 O
持 O
（ O
承 O
担 O
） O
军 O
委 O
科 O
技 O
委 O
重 O
点 O
研 O
发 O
项 O
目 O
项 O
目 O
项 O
， O
主 O
持 O
（ O
承 O
担 O
） O
其 O
他 O
省 O
部 O
级 O
（ O
重 O
点 O
和 O
重 O
大 O
项 O
目 O
） O
余 O
项 O
； O
教 O
学 O
方 O
面 O
： O
主 O
编 O
重 O
点 O
规 O
划 O
出 O
版 O
教 O
材 O
部 O
， O
承 O
担 O
省 O
部 O
级 O
和 O
校 O
级 O
教 O
改 O
课 O
题 O
项 O
， O
指 O
导 O
本 O
科 O
生 O
参 O
加 O
全 O
国 O
信 O
息 O
安 O
全 O
大 O
赛 O
和 O
电 O
子 O
设 O
计 O
等 O
重 O
点 O
赛 O
事 O
获 O
一 O
等 O
奖 O
次 O
， O
二 O
等 O
奖 O
次 O
， O
指 O
导 O
研 O
究 O
生 O
获 O
省 O
部 O
级 O
优 O
秀 O
毕 O
业 O
论 O
文 O
人 O
次 O
。 O
教 O
育 O
经 O
历 O
[ O
] O
曲 O
阜 I-ORG
师 I-ORG
范 I-ORG
大 I-ORG
学 E-ORG
> O
数 B-PRO
学 E-PRO
> O
学 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
> O
大 B-EDU
学 I-EDU
本 I-EDU
科 E-EDU
( O
简 O
称 O
“ O
大 O
学 O
” O
) O
[ O
] O
昆 B-ORG
明 I-ORG
理 I-ORG
工 I-ORG
大 I-ORG
学 E-ORG
> O
数 B-PRO
学 I-PRO
> O
硕 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
> O
研 B-EDU
究 I-EDU
生 E-EDU
[ O
] O
上 B-ORG
海 I-ORG
交 I-ORG
通 I-ORG
大 I-ORG
学 I-ORG
> I-ORG
信 I-ORG
息 I-ORG
与 I-ORG
通 I-ORG
信 I-ORG
工 I-ORG
程 I-ORG
* I-ORG
> E-ORG
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
> O
博 B-EDU
士 I-EDU
毕 O
业 O
工 O
作 O
经 O
历 O
[ O
] O
中 B-ORG
南 I-ORG
大 I-ORG
学 I-ORG
> I-ORG
自 I-ORG
动 I-ORG
化 I-ORG
学 I-ORG
院 E-ORG
> O
教 B-TITLE
授 E-TITLE
/ O
博 B-TITLE
导 E-TITLE
[ O
] O
北 O
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 I-ORG
> I-ORG
计 I-ORG
算 I-ORG
机 I-ORG
学 I-ORG
院 E-ORG
> O
教 B-TITLE
授 I-TITLE
/ I-TITLE
博 I-TITLE
导 I-TITLE
社 I-TITLE
会 I-TITLE
兼 I-TITLE
职 I-TITLE
[ I-TITLE
] O
中 I-ORG
国 I-ORG
密 I-ORG
码 I-ORG
学 I-ORG
学 I-ORG
会 E-ORG
量 B-TITLE
子 I-ORG
通 I-ORG
信 I-ORG
专 I-ORG
业 I-ORG
委 I-ORG
员 I-ORG
会 E-ORG
委 B-TITLE
员 E-TITLE
研 O
究 O
方 O
向 O
（ O
） O
光 O
量 O
子 O
通 I-ORG
信 I-ORG
软 I-ORG
件 O
， O
集 O
成 O
光 O
量 O
子 O
传 O
感 O
， O
集 O
成 O
微 I-TITLE
腔 I-TITLE
光 I-TITLE
频 I-TITLE
梳 I-TITLE
技 I-TITLE
术 I-TITLE
团 I-TITLE
