https://teacher.bupt.edu.cn/ehaihong
鄂 B-NAME
海 I-NAME
红 E-NAME
个 O
人 O
简 O
介 O
长 O
期 O
从 O
事 O
大 O
数 O
据 O
、 O
人 O
工 O
智 O
能 O
及 O
云 O
原 O
生 O
服 O
务 O
领 O
域 O
的 O
科 O
研 O
与 O
教 O
学 O
工 O
作 O
。 O
开 O
展 O
面 O
向 O
大 O
数 O
据 O
资 O
源 O
的 O
数 O
据 O
语 O
义 O
理 O
解 O
与 O
数 O
据 O
治 O
理 O
技 O
术 O
研 O
究 O
、 O
大 O
数 O
据 O
中 O
台 O
系 O
统 O
研 O
发 O
、 O
企 O
业 O
级 O
大 O
数 O
据 O
及 O
系 O
统 O
落 O
地 O
应 O
用 O
， O
以 O
及 O
相 O
应 O
的 O
学 O
科 O
建 O
设 O
和 O
人 O
才 O
培 O
养 O
。 O
研 O
究 O
生 O
主 O
要 O
培 O
养 O
方 O
向 O
： O
） O
知 O
识 O
图 O
谱 O
及 O
非 O
结 O
构 O
化 O
数 O
据 O
治 O
理 O
技 O
术 O
研 O
究 O
基 O
于 O
深 O
度 O
学 O
习 O
的 O
自 O
然 O
语 O
言 O
处 O
理 O
， O
知 O
识 O
图 O
谱 O
构 O
建 O
、 O
表 O
示 O
与 O
推 O
理 O
， O
基 O
于 O
知 O
识 O
图 O
谱 O
的 O
问 O
答 O
与 O
推 O
理 O
， O
多 O
模 O
态 O
数 O
据 O
语 O
义 O
处 O
理 O
等 O
相 O
关 O
算 O
法 O
模 O
型 O
研 O
究 O
； O
以 O
及 O
人 O
工 O
智 O
能 O
技 O
术 O
在 O
新 O
兴 O
交 O
叉 O
领 O
域 O
（ O
金 O
融 O
科 O
技 O
、 O
医 O
疗 O
健 O
康 O
等 O
领 O
域 O
） O
研 O
究 O
， O
以 O
及 O
算 O
法 O
模 O
型 O
应 O
用 O
实 O
践 O
。 O
） O
基 O
于 O
云 O
原 O
生 O
的 O
企 O
业 O
级 O
大 O
数 O
据 O
中 O
台 O
、 O
技 O
术 O
中 O
台 O
、 O
业 O
务 O
中 O
台 O
技 O
术 O
研 O
发 O
面 O
向 O
互 O
联 O
网 O
、 O
电 O
信 O
、 O
金 O
融 O
、 O
医 O
疗 O
、 O
科 O
技 O
服 O
务 O
业 O
等 O
行 O
业 O
， O
研 O
究 O
基 O
于 O
云 O
原 O
生 O
的 O
训 O
练 O
与 O
开 O
发 O
服 O
务 O
平 O
台 O
技 O
术 O
， O
研 O
究 O
基 O
于 O
云 O
原 O
生 O
的 O
跨 O
域 O
大 O
数 O
据 O
集 O
成 O
、 O
大 O
数 O
据 O
治 O
理 O
、 O
大 O
数 O
据 O
混 O
合 O
计 O
算 O
（ O
离 O
线 O
分 O
析 O
、 O
实 O
时 O
计 O
算 O
、 O
交 O
互 O
式 O
查 O
询 O
） O
、 O
大 O
数 O
据 O
分 O
析 O
与 O
挖 O
掘 O
、 O
大 O
数 O
据 O
可 O
视 O
化 O
技 O
术 O
的 O
研 O
究 O
及 O
实 O
践 O
。 O
教 O
育 O
经 O
历 O
[ O
] O
. O
- O
. O
北 I-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
| O
计 B-PRO
算 I-ORG
机 I-ORG
科 I-ORG
学 I-ORG
与 I-ORG
技 I-ORG
术 I-ORG
| O
博 B-EDU
士 E-EDU
| O
博 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
[ O
] O
. O
- O
. O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
| O
电 B-PRO
子 I-PRO
信 I-PRO
息 I-PRO
科 I-PRO
学 I-ORG
与 I-ORG
技 I-ORG
术 I-ORG
| I-ORG
本 B-EDU
科 E-EDU
( O
学 B-EDU
士 E-EDU
) O
| O
学 B-EDU
士 I-EDU
学 I-EDU
位 E-EDU
工 O
作 O
经 O
历 O
[ O
] O
. O
- O
. O
北 B-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
[ O
] O
. O
- O
. O
北 I-ORG
京 I-ORG
邮 I-ORG
电 I-ORG
大 I-ORG
学 E-ORG
研 I-ORG
究 I-ORG
方 I-ORG
向 O
[ O
] O
大 B-PRO
数 I-PRO
据 I-PRO
及 I-PRO
人 I-PRO
工 I-PRO
智 I-PRO
能 O
、 O
知 O
识 O
图 O
谱 O
及 O
自 O
然 O
语 O
言 O
处 O
理 O
、 O
大 O
数 O
据 O
中 O
台 O
、 O
分 O
布 O
式 O
微 O
服 O
务 O
架 O
构 O
社 O
会 O
兼 O
