教师姓名,匹配内容,URL
乔秀全,['计算机应用技术专业'],https://teacher.bupt.edu.cn/qiaoxiuquan
亓峰,"['计算机学院', '计算机科学与技术']",https://teacher.bupt.edu.cn/qifeng
傅湘玲,['计算机学院'],https://teacher.bupt.edu.cn/fuxiangling
刘会永,['计算机学院'],https://teacher.bupt.edu.cn/liuhuiyong/zh_CN/index.htm
刘伟,['计算机学院'],https://teacher.bupt.edu.cn/liuwei3
刘巍,['计算机学院'],https://teacher.bupt.edu.cn/liuwei1/
双锴,['计算机学'],https://teacher.bupt.edu.cn/shuangkai
吴斌,['计算机学院'],https://teacher.bupt.edu.cn/wubin
吴步丹,['计算机软件与理论'],https://teacher.bupt.edu.cn/wubudan
周凡钦,['计算机学院'],https://teacher.bupt.edu.cn/fqzhou
商彦磊,['计算机科学与技术工学'],https://scs.bupt.edu.cn/info/1293/2711.htm
宋美娜,['计算机科学与技术'],https://teacher.bupt.edu.cn/songmeina/zh_CN/index.htm
寇菲菲,"['计算机与科学技术专业', '计算机科学与技术|', '计算机学院']",https://teacher.bupt.edu.cn/Koufeifei
张光卫,['计算机学院'],https://teacher.bupt.edu.cn/zhangguangwei
张宇超,"['计算机科学与技术*', '计算机网络专委会']",https://teacher.bupt.edu.cn/yczhang
张波,['计算机学院'],https://teacher.bupt.edu.cn/zbo/zh_CN/index.htm
张海滨,['计算机学院'],https://teacher.bupt.edu.cn/zhanghaibin
徐童,['计算机学院'],https://teacher.bupt.edu.cn/xutong
李丹丹,['计算机学院'],https://teacher.bupt.edu.cn/lidandan
李士刚,['计算机学院'],http://teacher.bupt.edu.cn/lishigang/zh_CN/index.htm
杜军平,"['计算机学院', '计算机应用技术中心']",https://teacher.bupt.edu.cn/dujunping
杨亚,['计算机学院'],https://teacher.bupt.edu.cn/yangya
杨放春,"['计算机科学与技术*', '计算机学院', '计算机通信', '计算机应用', '计算机科学与技术学院']",https://teacher.bupt.edu.cn/yangfangchun
杨谈,['计算机学院'],https://teacher.bupt.edu.cn/yangtan/zh_CN/index.htm
杨震,"['计算机科学与技术*', '计算机学院']",https://teacher.bupt.edu.cn/yangzhen
林荣恒,"['计算机科学与技术', '计算机科学与技术*']",https://teacher.bupt.edu.cn/linrongheng
梁洪亮,['计算机软件与理论方向'],https://teacher.bupt.edu.cn/lianghongliang/zh_CN/index.htm
欧中洪,"['计算机学院', '计算机学院（国家示范性软件学院', '计算机科学', '计算机应用技术']",https://teacher.bupt.edu.cn/ouzhonghong/zh_CN/index.htm
牛少彰,['计算机学院'],https://teacher.bupt.edu.cn/niushaozhang
王文东,['计算机科学与工程系'],https://teacher.bupt.edu.cn/wangwendong/
王泉,['计算机科学'],https://teacher.bupt.edu.cn/wangquan
王玉龙,['计算机学院'],https://teacher.bupt.edu.cn/wangyulong/zh_CN/index.htm
王雅文,"['计算机科学与技术', '计算机学院']",https://teacher.bupt.edu.cn/wangyawen
王颖,['计算机学院'],https://teacher.bupt.edu.cn/wangying3
皮人杰,['计算机学院'],https://teacher.bupt.edu.cn/pirenjie
章洋,['计算机科学与技术专业'],https://teacher.bupt.edu.cn/zhangyang
罗红,['计算机学院'],https://teacher.bupt.edu.cn/luohong1
芮兰兰,['计算机学院'],https://teacher.bupt.edu.cn/ruilanlan
薛哲,"['计算机科学与技术', '计算机技术（工程']",https://teacher.bupt.edu.cn/xuezhe
袁燕妮,['计算机学院'],https://teacher.bupt.edu.cn/yuanyanni
谷勇浩,['计算机学院'],https://teacher.bupt.edu.cn/guyonghao
赵方,['计算机学院软件系统与工程中心'],https://teacher.bupt.edu.cn/zhaofang
赵耀,['计算机学院'],https://teacher.bupt.edu.cn/zhaoyao
邱莉榕,['计算机软件与理论'],https://teacher.bupt.edu.cn/qiulirong1/zh_CN/index.htm
邵苏杰,['计算机学院'],https://teacher.bupt.edu.cn/shaosujie
邵蓥侠,['计算机学院'],https://teacher.bupt.edu.cn/shaoyingxia
邹华,"['计算机软件专业', '计算机科学理论专业']",https://teacher.bupt.edu.cn/zouhua
金大海,"['计算机学院', '计算机学会']",https://teacher.bupt.edu.cn/jindahai
闫丹凤,['计算机学院'],https://teacher.bupt.edu.cn/yandanfeng
陈兴渝,['计算机学院'],https://teacher.bupt.edu.cn/chenxingyu/zh_CN/index.htm
陈勇,['计算机科学与技术*'],https://teacher.bupt.edu.cn/chenyong
陈晋鹏,['计算机学院'],https://teacher.bupt.edu.cn/chenjinpeng
雷友珣,['计算机学院'],https://teacher.bupt.edu.cn/leiyouxun
马骁,"['计算机科学与技术专业', '计算机科学与技术']",https://teacher.bupt.edu.cn/maxiao1
高占春,['计算机学院'],https://teacher.bupt.edu.cn/gaozhanchun
黄俊飞,['计算机学院'],https://teacher.bupt.edu.cn/huangjunfei
黄小红,['计算机学院'],https://teacher.bupt.edu.cn/huangxiaohong/
齐梦实,"['计算机科学与技术', '计算机学院', '计算机视觉实验室']",https://teacher.bupt.edu.cn/qimengshi/zh_CN/index.htm
龚向阳,['计算机组织与系统结构专业'],https://teacher.bupt.edu.cn/gongxiangyang
